"day","slot","scheduled_at_jst","type","theme","text","thread_json","cta","asset","claim_status"
"4","昼","2026-09-05 13:00 Asia/Tokyo","example_question","導線のボトルネック","Xで反応はある。けれどTelegramへ進まない。

そんなときは投稿数より、
「移動すると何が受け取れるか」
が一文で伝わっているかを確認したい。

あなたの案内文には、移動する理由がありますか？","[]","問いかけ","テキストのみ","illustrative_example"
"4","夜","2026-09-05 20:00 Asia/Tokyo","build_log","販売導線の可視化","開発メモ。

X投稿 → プロフィール → 案内ページ → Telegram → 商品説明

この流れを一枚に書き、各地点で「次に何をすればいいか」が一つだけ見えるか確認する。リンクを増やす前に、迷う場所を減らす。","[]","なし","販売導線図（任意）","process_note"
"5","朝","2026-09-06 09:00 Asia/Tokyo","education","3本柱の発信","少人数運営の発信は、3本柱で回しやすくなる。

1. 教える：判断基準や手順
2. 見せる：設計中の考えや変更理由
3. 案内する：誰向けの商品か

毎日売り込まず、学び・過程・選択肢を混ぜる。","[]","保存","3本柱の図解（任意）","general_guidance"
"5","昼","2026-09-06 13:00 Asia/Tokyo","example_question","一投稿一論点","一つの投稿に、集客・商品説明・自己紹介・価格・FAQを全部入れると、読み手は何に反応すればいいか迷います。

今日は一つだけ。
あなたが一投稿で伝えたい判断基準は何ですか？","[]","問いかけ","テキストのみ","general_guidance"
"5","夜","2026-09-06 20:00 Asia/Tokyo","build_log","投稿棚卸し","開発メモ。

直近の投稿を、
「教える・見せる・案内する」
の3つに分類してみる。

偏りが見えたら、足りない種類を次の投稿候補へ。感覚ではなく、並べて確認する。","[]","なし","投稿分類表（任意）","process_note"
"6","朝","2026-09-07 09:00 Asia/Tokyo","thread","小さな商品の設計","教材や有料コミュニティを大きく作りすぎないための10ステップ。

最初に決めたいのは、コンテンツ量ではなく「どの判断を助けるか」です。ステップ1からステップ10まで、残りはツリーで。","[""1/10\nステップ1｜対象者を一文にする。\n\n『学びたい人』では広すぎます。どんな状況で、何を決められずにいる人かまで書きます。"",""2/10\nステップ2｜入口の悩みを一つにする。\n\n複数の悩みを扱う場合も、最初の一歩は一つに絞ります。"",""3/10\nステップ3｜助ける判断を決める。\n\n結果を保証せず、比較・選択・実行のどの判断を助けるかを明確にします。"",""4/10\nステップ4｜含む内容を書く。\n\n目次、ワーク、更新など、購入後に受け取るものを具体化します。"",""5/10\nステップ5｜含まない内容を書く。\n\n個別代行や無制限相談など、提供しない範囲も先に示します。"",""6/10\nステップ6｜最小の形式を選ぶ。\n\n文章、動画、音声、ワークシート。内容に合う最小構成から始めます。"",""7/10\nステップ7｜質問の受け皿を決める。\n\n返信、フォーム、Telegram。回答範囲と目安も一緒に書きます。"",""8/10\nステップ8｜価格と利用条件を揃える。\n\n利用期間、更新、解約、返金、追加費用を購入前に読める場所へ置きます。"",""9/10\nステップ9｜購入後の開始手順を書く。\n\n何が届き、どこから始め、困ったときはどこへ連絡するかを決めます。"",""10/10\nステップ10｜販売前に全体を読み返す。\n\n対象・内容・対象外・形式・条件・開始手順が同じ約束になっているか確認。あとで見直せるよう保存してください。""]","保存","スレッド用表紙画像（任意）","general_guidance"
"6","昼","2026-09-07 13:00 Asia/Tokyo","example_question","最小単位","仮想例。

『X運用のすべて』ではなく、
『7日分の投稿テーマを決める手順』
から始める。

あなたの商品を、最初の一判断まで小さくすると何になりますか？","[]","問いかけ","テキストのみ","illustrative_example"
"6","夜","2026-09-07 20:00 Asia/Tokyo","sales_cta","販売設計の案内","商品を増やす前に、対象者・扱う課題・提供範囲を整理したい方へ。

教材では自分のペースで見直せる形に、有料コミュニティでは問いを持ち寄れる形にしています。内容と参加条件はプロフィールの案内から確認できます。","[]","直接販売","商品案内カード（任意）","offer_invitation_no_outcome_claim"
"7","朝","2026-09-08 09:00 Asia/Tokyo","checklist","週次レビュー","1週間の発信レビュー。

□ 保存されたテーマ
□ 返信が生まれた問い
□ プロフィールへ誘導した投稿
□ 説明が足りなかった点
□ 次週も残す切り口

表示回数だけでなく、次の改善に使える反応を見ます。","[]","保存","週次レビュー表（任意）","general_guidance"
"7","昼","2026-09-08 13:00 Asia/Tokyo","example_question","反応の読み方","保存は多いが返信が少ない投稿。

役立った可能性はあっても、理由までは分かりません。

次は『どこで迷っていますか？』と聞いて、数値と会話を分けて確かめる。あなたなら何を質問しますか？","[]","問いかけ","テキストのみ","general_guidance"
"7","夜","2026-09-08 20:00 Asia/Tokyo","cta","無料資料への案内","販売前後の抜けを10項目で点検したい方へ。

無料資料『販売事故・売上漏れ10項目診断』で、表示・決済・納品・権限・返金などを確認できます。

無料資料をダウンロード：
{{LEAD_MAGNET_URL}}?utm_source=x&utm_medium=organic&utm_campaign=30_day_calendar&utm_content=day07_night","[]","無料資料","『販売事故・売上漏れ10項目診断』表紙画像（任意）","free_resource_invitation"
"8","朝","2026-09-09 09:00 Asia/Tokyo","education","教材の順序","教材は、情報量より順序が大切です。

おすすめの骨格は、
1. 現状を確認する
2. 判断基準を知る
3. 小さく試す
4. 結果を振り返る
5. 次の一手を選ぶ

読むだけで終わらない導線を作ります。","[]","保存","5段階の教材設計図（任意）","general_guidance"
"8","昼","2026-09-09 13:00 Asia/Tokyo","example_question","章末の行動","章末に『理解できましたか？』と書くより、
『明日の投稿テーマを3つ書く』
のように、確認できる行動を置く。

あなたの教材の最初の章は、何を一つ動かしますか？","[]","問いかけ","テキストのみ","illustrative_example"
"8","夜","2026-09-09 20:00 Asia/Tokyo","build_log","章構成の点検","開発メモ。

各章の末尾に、
・何を確認するか
・何を一つ試すか
・次章へ進む条件は何か
を置く。

説明を足す前に、読み手が止まりそうな場所を見つける。","[]","なし","章構成メモ（任意）","process_note"
"9","朝","2026-09-10 09:00 Asia/Tokyo","checklist","誇張しない価値説明","価値を伝えるときの確認。

□ 結果を保証していない
□ 誰にでも当てはまると言っていない
□ 内容と条件を具体的に書いた
□ 実績は確認できるものだけ
□ 向かない人も示した

強い言葉より、判断できる情報を。","[]","保存","表現チェックリスト画像（任意）","general_guidance"
"9","昼","2026-09-10 13:00 Asia/Tokyo","example_question","価値の具体化","『人生が変わる教材』では、購入前に中身を判断できません。

『X投稿のテーマを週単位で整理するワーク付き』なら、何を受け取るかが見えます。

あなたの商品は、何が入っていると具体的に言えますか？","[]","問いかけ","表現の比較カード（任意）","illustrative_example"
"9","夜","2026-09-10 20:00 Asia/Tokyo","sales_cta","内容で選べる案内","派手な結果ではなく、何を学び、どこまで扱うかを見て選びたい方へ。

教材の目次と、有料コミュニティで扱うテーマ・参加条件を案内ページにまとめています。合うかどうかを確かめてから、プロフィールよりご検討ください。","[]","直接販売","目次・参加条件カード（任意）","offer_invitation_no_outcome_claim"
"10","朝","2026-09-11 09:00 Asia/Tokyo","education","価格説明","価格を伝えるときは、数字だけで終わらせない。

・含まれる内容
・利用できる期間
・質問や更新の範囲
・追加費用の有無
・解約や返金の条件

比較に必要な情報を同じ場所へまとめます。","[]","保存","価格説明5項目画像（任意）","general_guidance"
"10","昼","2026-09-11 13:00 Asia/Tokyo","example_question","価格への不安","『高いと思われたくない』から説明を増やしすぎると、かえって判断しにくくなることがあります。

価格の正当化より先に、内容・条件・対象外を短く揃える。あなたの案内で不足しているのはどれですか？","[]","問いかけ","テキストのみ","general_guidance"
"10","夜","2026-09-11 20:00 Asia/Tokyo","build_log","価格ページの点検","開発メモ。

価格ページを、初めて見る人の順番で読む。

1. 自分向けか
2. 何が含まれるか
3. 何が含まれないか
4. いくらか
5. 次に何をするか

この順番が崩れていないか確認する。","[]","なし","価格ページ構成図（任意）","process_note"
"11","朝","2026-09-12 09:00 Asia/Tokyo","checklist","購入前の不安","購入前の不安は、反論せず分類する。

・自分に合うか
・時間を取れるか
・難しすぎないか
・質問できるか
・途中でやめられるか

答えは短く、条件は具体的に。分からないことは分からないと書きます。","[]","保存","不安の分類カード（任意）","general_guidance"
"11","昼","2026-09-12 13:00 Asia/Tokyo","example_question","向かない人の明示","『短期間の成果保証を求める方には向きません』

これは弱い案内ではなく、条件を揃えるための情報です。

あなたの商品は、どんな期待には応えない設計ですか？","[]","問いかけ","テキストのみ","illustrative_example"
"11","夜","2026-09-12 20:00 Asia/Tokyo","build_log","対象外の明文化","開発メモ。

『できること』と同じ文字量で、
『できないこと』『扱わないこと』
を書く。

販売後の期待差を減らすために、魅力だけでなく境界も設計する。","[]","なし","できる・できない比較表（任意）","process_note"
"12","朝","2026-09-13 09:00 Asia/Tokyo","education","Telegramオンボーディング","有料Telegramの最初の案内に必要なもの。

1. ここで得られる情報
2. 最初に読む場所
3. 質問の方法
4. 返信の範囲と目安
5. 禁止事項
6. 退会方法

参加直後の迷いを減らす設計です。","[]","保存","オンボーディング6項目画像（任意）","general_guidance"
"12","昼","2026-09-13 13:00 Asia/Tokyo","example_question","最初の一歩","参加直後に過去ログを全部読んでもらうのは負担です。

まず読む投稿を3つに絞り、最初の質問例を一つ置く。

あなたのTelegramでは、参加後5分で何をすればいいですか？","[]","問いかけ","テキストのみ","general_guidance"
"12","夜","2026-09-13 20:00 Asia/Tokyo","sales_cta","参加後の流れ","有料コミュニティを選ぶときは、テーマだけでなく参加後の流れも確認してください。

最初に読む内容、質問方法、扱う範囲、退会条件を案内ページに記載しています。納得できる方は、プロフィールから詳細をご覧ください。","[]","直接販売","参加後の流れカード（任意）","offer_invitation_no_outcome_claim"
"13","朝","2026-09-14 09:00 Asia/Tokyo","thread","信頼をつくる発信","実績を盛らずに、教材やコミュニティへの信頼をつくる10ステップ。

売上や人数を出せなくても、判断材料は作れます。ステップ1からステップ10まで、残りはツリーで。","[""1/10\nステップ1｜確認済みの事実だけを書く。\n\n人数、売上、所属、実績は、出所と公開許可を確認できるものだけにします。"",""2/10\nステップ2｜判断基準を教える。\n\n何を選び、何を避けるか。その理由まで書くと、考え方が伝わります。"",""3/10\nステップ3｜一般論と自分の意見を分ける。\n\n断定せず、『基本』『私なら』など、主張の範囲が分かる言葉を使います。"",""4/10\nステップ4｜仮想例にラベルを付ける。\n\n実在の顧客事例と混同されないよう、冒頭に『仮想例』と書きます。"",""5/10\nステップ5｜作成中の論点を見せる。\n\n完成したふりをせず、検討中の点と、まだ決まっていない点を書きます。"",""6/10\nステップ6｜対象外を明示する。\n\n誰に向かないか、何を提供しないかも購入前の判断材料です。"",""7/10\nステップ7｜更新理由を残す。\n\n何を変えたかだけでなく、どんな混乱を減らすためかを説明します。"",""8/10\nステップ8｜質問をFAQへ反映する。\n\n個人情報を外し、一般化できる質問だけを公開用に整えます。"",""9/10\nステップ9｜分からないことを断定しない。\n\n確認済みの事実、助言、仮説を分け、未確認ならそのまま示します。"",""10/10\nステップ10｜全導線の表現を揃える。\n\nX、Telegram、販売ページで対象・内容・条件が一致しているか確認。信頼は、強い断言より一貫した境界から育ちます。""]","保存","スレッド用表紙画像（任意）","general_guidance"
"13","昼","2026-09-14 13:00 Asia/Tokyo","example_question","過程の共有","『完成しました』と言える証拠がまだないなら、
『今は目次を検討中です』
で十分です。

あなたが今日、事実として共有できる過程はどこまでですか？","[]","問いかけ","テキストのみ","general_guidance"
"13","夜","2026-09-14 20:00 Asia/Tokyo","build_log","主張ラベル","開発メモ。

投稿案を3色に分ける。

・確認できる事実
・一般的な助言
・これから試す仮説

色が決まらない文章は、公開前に根拠か表現を見直す。","[]","なし","3色ラベル図（任意）","process_note"
"14","朝","2026-09-15 09:00 Asia/Tokyo","checklist","固定投稿","固定投稿の点検。

□ 誰向けか
□ 何を発信するか
□ 無料で読める内容
□ 有料商品の違い
□ Telegramへ進む理由
□ 次の行動は一つ

初見の人が、売り込みだけでなく全体像を判断できる形に。","[]","保存","固定投稿チェック画像（任意）","general_guidance"
"14","昼","2026-09-15 13:00 Asia/Tokyo","example_question","無料と有料の境界","無料発信では判断基準を共有する。
有料では、順序・演習・継続支援など、体験の設計を提供する。

情報を隠すことが有料価値ではありません。あなたの有料部分は、どんな体験ですか？","[]","問いかけ","無料と有料の境界図（任意）","general_guidance"
"14","夜","2026-09-15 20:00 Asia/Tokyo","cta","無料資料への案内","固定投稿から購入後まで、販売導線を一度に見直したい方へ。

無料資料『販売事故・売上漏れ10項目診断』で、案内の不一致や未確認工程を点検できます。

無料資料をダウンロード：
{{LEAD_MAGNET_URL}}?utm_source=x&utm_medium=organic&utm_campaign=30_day_calendar&utm_content=day14_night","[]","無料資料","『販売事故・売上漏れ10項目診断』記入例画像（任意）","free_resource_invitation"
"15","朝","2026-09-16 09:00 Asia/Tokyo","education","XからTelegramへの導線","XからTelegramへ案内するときの順番。

1. 投稿だけで役立つ内容を渡す
2. 続きで扱うテーマを伝える
3. Telegramで受け取れるものを明示する
4. 参加・退出条件を書く

移動を急かさず、理由を揃えます。","[]","保存","4段階導線図（任意）","general_guidance"
"15","昼","2026-09-16 13:00 Asia/Tokyo","example_question","チャネル移動の理由","『詳しくはTelegramへ』だけでは、移動後が見えません。

『週1回、教材づくりの設計メモと更新案内を届けます』
のように、内容と頻度を書く。

あなたは移動後の体験を一文で言えますか？","[]","問いかけ","表現比較カード（任意）","illustrative_example"
"15","夜","2026-09-16 20:00 Asia/Tokyo","sales_cta","学び方の選択","Xの短い投稿だけでなく、順序立てて整理したい方へ。

教材は自分で進める形式、有料コミュニティは対話を含む形式です。どちらが合うか判断できるよう、内容と条件をプロフィールの案内にまとめています。","[]","直接販売","学び方比較画像（任意）","offer_invitation_no_outcome_claim"
"16","朝","2026-09-17 09:00 Asia/Tokyo","checklist","事例の扱い","事例を投稿する前の確認。

□ 本人の公開許可がある
□ 数字の出所を確認した
□ 特定につながる情報を外した
□ 結果だけでなく条件も書いた
□ 仮想例なら明記した

確認できない組織名や実績は使いません。","[]","保存","事例公開チェック画像（任意）","general_guidance"
"16","昼","2026-09-17 13:00 Asia/Tokyo","example_question","仮想例の明示","仮想例。

投稿テーマが決まらない運営者が、質問メモを
『始める前・途中・購入前』
に分けたら、発信候補を整理しやすくなった。

これは説明用の例です。あなたなら何の分類を試しますか？","[]","問いかけ","3分類の例図（任意）","illustrative_example"
"16","夜","2026-09-17 20:00 Asia/Tokyo","build_log","事例テンプレート","開発メモ。

事例は、
状況 → 選択肢 → 選んだ理由 → 観察できたこと → まだ分からないこと
の順で書く。

成功物語に整えすぎず、判断の過程を残す。","[]","なし","事例テンプレート画像（任意）","process_note"
"17","朝","2026-09-18 09:00 Asia/Tokyo","education","更新履歴","教材の更新履歴には、日付だけでなく理由を書く。

・質問が多かったため例を追加
・条件が伝わりにくいため表現を修正
・古い手順を削除

変更理由があると、読者もどこを読み直すか判断できます。","[]","保存","更新履歴の例画像（任意）","general_guidance"
"17","昼","2026-09-18 13:00 Asia/Tokyo","example_question","削る開発","教材を良くする方法は、追加だけではありません。

重複した説明を削る。
章の順番を変える。
例を一つに絞る。

あなたの商品で、足すより先に減らせるものはありますか？","[]","問いかけ","テキストのみ","general_guidance"
"17","夜","2026-09-18 20:00 Asia/Tokyo","build_log","更新優先順位","開発メモ。

更新候補を、
1. 誤解につながる
2. 進行を止める
3. あれば便利
の順に並べる。

見栄えより、購入者の判断や進行を妨げる箇所から直す。","[]","なし","優先順位3段階図（任意）","process_note"
"18","朝","2026-09-19 09:00 Asia/Tokyo","checklist","コミュニティ運営","有料コミュニティの価値を保つ基本。

□ テーマの範囲を決める
□ 質問方法を揃える
□ 返信の目安を示す
□ 個人情報を持ち込まない
□ 宣伝ルールを決める
□ 退会方法を見つけやすくする

運営人数に合う約束だけをします。","[]","保存","運営ルール6項目画像（任意）","general_guidance"
"18","昼","2026-09-19 13:00 Asia/Tokyo","example_question","コミュニティの中心","有料コミュニティは、投稿数が多いほど良いとは限りません。

毎週一つの問いを深める。
質問を分類して残す。
更新理由を共有する。

あなたが無理なく続けられる中心活動は何ですか？","[]","問いかけ","テキストのみ","general_guidance"
"18","夜","2026-09-19 20:00 Asia/Tokyo","sales_cta","対話型の学び","一人で読むだけでは整理しにくい論点を、問いとして持ち寄りたい方へ。

有料コミュニティでは、扱うテーマと運営ルールを先に公開しています。参加方法・質問範囲・退会条件をご確認のうえ、プロフィールからご検討ください。","[]","直接販売","コミュニティ案内カード（任意）","offer_invitation_no_outcome_claim"
"19","朝","2026-09-20 09:00 Asia/Tokyo","education","FAQ設計","FAQは質問を並べるだけでなく、順番を設計する。

1. 誰向けか
2. 何が含まれるか
3. どう進めるか
4. サポート範囲
5. 料金・解約・返金

購入判断の流れに沿って置くと探しやすくなります。","[]","保存","FAQ順序図（任意）","general_guidance"
"19","昼","2026-09-20 13:00 Asia/Tokyo","example_question","質問をコンテンツ化","同じ質問を二度受けたら、個別返信だけで終わらせず、個人情報を外してFAQ候補へ。

質問は、説明不足を見つける材料です。
最近、繰り返し聞かれたことはありますか？","[]","問いかけ","テキストのみ","general_guidance"
"19","夜","2026-09-20 20:00 Asia/Tokyo","build_log","FAQ更新ルール","開発メモ。

FAQ候補には、
・質問の原文
・一般化した問い
・公開できない情報
・回答の根拠
を残す。

すぐ公開せず、個人情報と断定表現を確認してから追加する。","[]","なし","FAQ候補メモ（任意）","process_note"
"20","朝","2026-09-21 09:00 Asia/Tokyo","thread","販売自動化の10工程","教材・有料コミュニティの販売自動化を、事故なく設計する10工程。

自動化するのは、約束と確認方法を固定してから。ステップ1からステップ10まで、残りはツリーで。","[""1/10\nステップ1｜商品定義。\n\n対象者、内容、対象外、提供形式、利用期間、質問範囲を決めます。自動化の前に、何を売るかを固定します。"",""2/10\nステップ2｜権利・同意。\n\n教材素材の利用権、顧客データの扱い、XやTelegramで連絡する同意を確認。許可のない素材や連絡先は使いません。"",""3/10\nステップ3｜オファー。\n\n価格、含む内容、追加費用、更新、解約、返金条件を一つの案内にまとめます。結果の保証は付けません。"",""4/10\nステップ4｜承認。\n\n公開文、価格、配信先、開始日時を運営者が確認。自動投稿や課金を、下書き作成だけで開始しない設計にします。"",""5/10\nステップ5｜約束版固定。\n\n承認した商品説明・価格・条件へ版番号を付け、変更前後を残します。購入時の約束を後から書き換えません。"",""6/10\nステップ6｜BOT接続。\n\n自分が所有するBOTか、送信先と権限は正しいかを確認。tokenは公開せず、接続と送信結果を公式応答で確かめます。"",""7/10\nステップ7｜決済。\n\n決済ページの価格・通貨・継続条件を約束版と照合。クリックではなく、決済事業者の完了応答で支払いを判定します。"",""8/10\nステップ8｜納品・権限。\n\n決済完了を確認後、教材の納品またはコミュニティ権限を付与。受け取れたかまで記録し、失敗時は再送か停止へ。"",""9/10\nステップ9｜継続・返金検証。\n\n更新、解約、返金、権限失効を決済状態と照合。支払いが止まった後も権限が残る、といったずれを確認します。"",""10/10\nステップ10｜記録・精算。\n\n注文、決済、納品、権限、返金を同じ取引に結び、売上・返金・手数料を分けて記録。未回収や未納品を売上完了に含めません。""]","保存","スレッド用表紙画像（任意）","general_guidance"
"20","昼","2026-09-21 13:00 Asia/Tokyo","example_question","発売準備の優先順位","告知画像はできた。でも購入後の案内がない。

この場合、先に整えるのは納品と開始手順です。

見える部分より、約束を実行する部分から。あなたの準備で最後まで未確認なのはどこですか？","[]","問いかけ","テキストのみ","illustrative_example"
"20","夜","2026-09-21 20:00 Asia/Tokyo","build_log","発売ゲート","開発メモ。

公開条件を4つに絞る。

・販売ページ確認
・決済後の案内確認
・問い合わせ先確認
・停止手順確認

一つでも未確認なら、完成とは書かず準備中として扱う。","[]","なし","発売ゲート4項目画像（任意）","process_note"
"21","朝","2026-09-22 09:00 Asia/Tokyo","checklist","解約・返金条件","販売ページで見つけやすくしたい条件。

□ 買い切りか継続課金か
□ 更新日
□ 解約方法
□ 解約後の閲覧範囲
□ 返金の可否と条件
□ 問い合わせ先

小さな文字に隠さず、購入前に読める場所へ。","[]","保存","条件確認チェック画像（任意）","general_guidance"
"21","昼","2026-09-22 13:00 Asia/Tokyo","example_question","継続課金の明示","月額なら、価格だけでなく『次回更新日』『解約方法』『解約後どうなるか』まで一緒に伝える。

購入ボタンの近くで確認できますか？

あなたの案内は、始め方と同じくらい終わり方が見えていますか？","[]","問いかけ","テキストのみ","general_guidance"
"21","夜","2026-09-22 20:00 Asia/Tokyo","sales_cta","条件を確認して選ぶ","教材・有料コミュニティは、内容だけでなく利用条件まで見て選んでください。

提供範囲、料金、継続の有無、解約・返金条件を案内ページにまとめています。ご自身に合うか確認したうえで、プロフィールからお進みください。","[]","直接販売","利用条件カード（任意）","offer_invitation_no_outcome_claim"
"22","朝","2026-09-23 09:00 Asia/Tokyo","education","無料サンプル","無料サンプルで見せたいのは、量ではなく相性です。

・文章の難易度
・説明の順序
・ワークの形式
・扱うテーマ
・向かない人

購入前に『自分に合う進め方か』を判断できる内容にします。","[]","保存","無料サンプル5項目画像（任意）","general_guidance"
"22","昼","2026-09-23 13:00 Asia/Tokyo","example_question","サンプルの役割","無料部分だけ豪華に見せるのではなく、有料部分と同じ考え方・同じ難易度で一部を見せる。

期待を上げるためではなく、相性を確かめるため。

あなたのサンプルは何を判断できますか？","[]","問いかけ","テキストのみ","general_guidance"
"22","夜","2026-09-23 20:00 Asia/Tokyo","cta","無料資料への案内","決済できたのに納品されない、解約後も権限が残る。そんな販売事故や売上漏れを事前に点検したい方へ。

無料資料『販売事故・売上漏れ10項目診断』はこちら。

無料資料をダウンロード：
{{LEAD_MAGNET_URL}}?utm_source=x&utm_medium=organic&utm_campaign=30_day_calendar&utm_content=day22_night","[]","無料資料","『販売事故・売上漏れ10項目診断』診断画面画像（任意）","free_resource_invitation"
"23","朝","2026-09-24 09:00 Asia/Tokyo","checklist","反応を生む問い","返信しやすい問いの条件。

□ 一投稿に一問
□ 正解を求めない
□ 個人情報を求めない
□ 選択肢を置く
□ 一文で答えられる
□ 回答をどう使うか示す

会話は調査でもあるので、扱い方まで丁寧に。","[]","保存","問いのチェック画像（任意）","general_guidance"
"23","昼","2026-09-24 13:00 Asia/Tokyo","example_question","二択の質問","教材を選ぶとき、迷うのはどちらですか？

A. 自分に合う内容か
B. 続けられる形式か

A/Bだけでも大丈夫です。今後の説明で、どちらを先に詳しく扱うか考える材料にします。","[]","問いかけ","A/B投票画像（任意）","audience_question"
"23","夜","2026-09-24 20:00 Asia/Tokyo","build_log","回答の扱い","開発メモ。

回答を集める前に、
・何の判断に使うか
・公開する場合はどう匿名化するか
・いつ削除するか
を決める。

質問することと、回答を自由に再利用できることは別です。","[]","なし","回答取扱いメモ（任意）","process_note"
"24","朝","2026-09-25 09:00 Asia/Tokyo","education","商品選択","教材とコミュニティを両方売るなら、選び方を先に示す。

教材：時間を自分で決めたい／順番に学びたい
コミュニティ：質問や対話を使いたい／継続的に参加したい

上位・下位ではなく、体験の違いとして説明します。","[]","保存","商品選択の比較図（任意）","general_guidance"
"24","昼","2026-09-25 13:00 Asia/Tokyo","example_question","選択の基準","『どちらがお得か』ではなく、
『今の自分は一人で進めたいか、対話が必要か』
で選ぶ。

あなたが学ぶ側なら、今ほしいのは整理された順序と対話のどちらですか？","[]","問いかけ","テキストのみ","general_guidance"
"24","夜","2026-09-25 20:00 Asia/Tokyo","sales_cta","自分に合う形式","自分のペースで進める教材と、対話を含む有料コミュニティ。

どちらが上というものではなく、必要な体験で選べます。内容、提供範囲、参加条件の比較はプロフィールにまとめています。合う方だけご検討ください。","[]","直接販売","教材・コミュニティ比較画像（任意）","offer_invitation_no_outcome_claim"
"25","朝","2026-09-26 09:00 Asia/Tokyo","checklist","誠実な限定","限定を使う前の確認。

□ 本当に締切がある
□ 人数制限に運営上の理由がある
□ 終了後に延長を繰り返さない
□ 残数は確認できる数字だけ
□ 急がなくても条件を読める

理由のない焦りは作りません。","[]","保存","限定表現チェック画像（任意）","general_guidance"
"25","昼","2026-09-26 13:00 Asia/Tokyo","example_question","締切の理由","『今だけ』と書く前に、なぜ今だけなのかを説明できるか。

運営人数、開始日、質問対応の範囲。実際の理由がないなら、常時案内でよいはずです。

あなたの締切には、確認できる理由がありますか？","[]","問いかけ","テキストのみ","general_guidance"
"25","夜","2026-09-26 20:00 Asia/Tokyo","build_log","限定表現の監査","開発メモ。

販売文から、
『残りわずか』『今だけ』『二度とない』
を一度外す。

事実として確認でき、運営上必要な表現だけ戻す。焦りではなく条件で判断できる文章へ。","[]","なし","販売文の校正画面（任意）","process_note"
"26","朝","2026-09-27 09:00 Asia/Tokyo","checklist","発売日の運用","発売日に見る場所。

□ 販売ページが開く
□ 価格と条件が一致
□ 決済後の案内が届く
□ 問い合わせ先が見える
□ 参加・閲覧権限を確認
□ 問題時に販売を止められる

投稿前に、購入後まで確認します。","[]","保存","発売日チェック画像（任意）","general_guidance"
